
Top Cybersecurity Experts to Follow on Twitter

Table of Contents
Aleksandra Doniec | @hasherezade
Binni Shah | @binitamshah
Brian Krebs | @briankrebs
Bruce Schneier | @schneierblog
Dave Kennedy | @hackingdave
Eugene Kaspersky | @e_kaspersky
Eva Galperin | @evacide
Graham Cluley | @gcluley
Jack Daniel | @jack_daniel
Jason Haddix | @JHaddix
Jayson E. Street @jaysonstreet
Jeremiah Grossman | @jeremiahg
Marcus J. Carey | @marcusjcarey
Maria Markstedter | @Fox0x01
Matthew Green | @matthew_d_green
Katie Moussouris | @k8em0
Kevin Mitnick | @kevinmitnick
Lesley Carhart | @hacks4pancakes
Mikko Hyppönen | @mikko
Paul Asadoorian | @securityweekly
Parisa Tabriz | @laparisa
Rachel Tobac | @RachelTobac
Richard Bejtlich | @taosecurity
Robert M. Lee | @RobertMLee
Runa Sandvik | @runasand
Samy Kamkar | @samykamkar
SwiftOnSecurity | @SwiftOnSecurity
Tavis Ormandy | @taviso
Thaddeus Grugq | @thegrugq
Troy Hunt | @troyhunt
